Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Bronx,Asian,2015,4 year August,999,923,92.39239502,894,89.48948669,96.85807037,575,57.55755615,62.29685974,319,31.93193245,34.56121445,29,2.902902842,3.141928434,48,4.804804802,25,2.502502441,1,0.1001001,2,0.2002002001
Bronx,Asian,2014,4 year August,968,866,89.4628067,839,86.67355347,96.88221741,562,58.05784988,64.89607239,277,28.61570168,31.98614311,27,2.789256096,3.117782831,71,7.334710598,29,2.995867729,1,0.1033057868,1,0.1033057868
Bronx,Asian,2013,4 year August,883,801,90.71347809,784,88.78822327,97.87765503,533,60.36240005,66.54182434,251,28.4258213,31.33583069,17,1.925254822,2.122347116,56,6.342015743,23,2.604756594,2,0.2265005708,1,0.1132502928
Bronx,Asian,2012,4 year August,981,876,89.29663849,855,87.15596008,97.60273743,543,55.35168076,61.98630142,312,31.80428123,35.61643982,21,2.140672684,2.397260189,70,7.135575771,31,3.160040855,2,0.2038736045,2,0.2038736045
Bronx,Asian,2011,4 year August,957,841,87.87878418,827,86.41588593,98.33531189,606,63.32288361,72.0570755,221,23.0929985,26.2782402,14,1.46290493,1.664684892,81,8.463950157,30,3.134796143,4,0.4179728329,1,0.1044932082
Bronx,Asian,2010,4 year August,920,792,86.08695984,783,85.10869598,98.86363983,556,60.43478394,70.20201874,227,24.67391396,28.66161537,9,0.9782608747,1.136363626,80,8.695652008,38,4.13043499,7,0.7608695626,3,0.3260869682
Bronx,Asian,2009,4 year August,952,809,84.97898865,792,83.19327545,97.89864349,561,58.92856979,69.34487152,231,24.26470566,28.55377007,17,1.785714269,2.101359606,83,8.71848774,47,4.936975002,9,0.9453781247,4,0.420168072
Bronx,Asian,2008,4 year August,889,755,84.92688751,748,84.13948059,99.07284546,558,62.76715469,73.9072876,190,21.3723278,25.16556358,7,0.787401557,0.9271523356,90,10.12373447,30,3.374578238,11,1.237345338,3,0.3374578059
Bronx,Asian,2007,4 year August,884,773,87.44343567,733,82.91854858,94.82535553,528,59.728508,68.30530548,205,23.1900444,26.52005196,40,4.524887085,5.17464447,67,7.579185486,34,3.846153736,5,0.5656108856,5,0.5656108856
Bronx,Asian,2006,4 year August,830,732,88.19277191,678,81.68674469,92.62294769,496,59.75903702,67.75955963,182,21.92771149,24.86338806,54,6.506023884,7.377048969,55,6.626505852,32,3.855421782,5,0.6024096608,6,0.7228915691
Bronx,Asian,2005,4 year August,753,667,88.57901764,602,79.94687653,90.25487518,460,61.08897781,68.96551514,142,18.85790253,21.28935623,65,8.632138252,9.745127678,46,6.108897686,28,3.718459606,4,0.5312085152,8,1.06241703
Bronx,Asian,2015,4 year June,999,910,91.09108734,888,88.8888855,97.58242035,574,57.4574585,63.07692337,314,31.43143082,34.50549316,22,2.20220232,2.417582512,61,6.106106281,25,2.502502441,1,0.1001001,2,0.2002002001
Bronx,Asian,2014,4 year June,968,849,87.70661163,828,85.5371933,97.52650452,562,58.05784988,66.19552612,266,27.4793396,31.33097839,21,2.169421434,2.473498344,88,9.090909004,29,2.995867729,1,0.1033057868,1,0.1033057868
Bronx,Asian,2013,4 year June,883,788,89.2412262,774,87.65571594,98.22335052,533,60.36240005,67.63959503,241,27.29331779,30.58375549,14,1.585503936,1.776649714,69,7.814269543,23,2.604756594,2,0.2265005708,1,0.1132502928
Bronx,Asian,2012,4 year June,981,859,87.56371307,842,85.83078766,98.02095795,542,55.24974442,63.09662247,300,30.58103943,34.92433167,17,1.732925534,1.979045391,87,8.868501663,31,3.160040855,2,0.2038736045,2,0.2038736045
Bronx,Asian,2011,4 year June,957,825,86.20689392,813,84.95298004,98.54545593,606,63.32288361,73.45454407,207,21.63009453,25.09090996,12,1.253918529,1.454545498,97,10.13584137,30,3.134796143,4,0.4179728329,1,0.1044932082
Bronx,Asian,2010,4 year June,920,781,84.89130402,772,83.91304016,98.84763336,554,60.21739197,70.93470001,218,23.69565201,27.91293144,9,0.9782608747,1.152368784,91,9.891304016,38,4.13043499,7,0.7608695626,3,0.3260869682
Bronx,Asian,2009,4 year June,952,788,82.77310944,773,81.19747925,98.09644318,560,58.82352829,71.06598663,213,22.37394905,27.03045654,15,1.575630307,1.903553247,104,10.92436981,47,4.936975002,9,0.9453781247,4,0.420168072
Bronx,Asian,2008,4 year June,889,740,83.23959351,735,82.67716217,99.32432556,558,62.76715469,75.40540314,177,19.91001129,23.91891861,5,0.5624296665,0.6756756902,105,11.81102371,30,3.374578238,11,1.237345338,3,0.3374578059
